AbilityID,AbilityName,AbilityEffect
1,Stench,The stench may cause the target to flinch.
2,Drizzle,The Pokémon makes it rain when it enters a battle.
3,Speed Boost,Its Speed stat is gradually boosted.
4,Battle Armor,The Pokémon is protected against critical hits.
5,Sturdy,It cannot be knocked out with one hit.
6,Damp,Prevents the use of self-destructing moves.
7,Limber,The Pokémon is protected from paralysis.
8,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.
9,Static,Contact with the Pokémon may cause paralysis.
10,Volt Absorb,Restores HP if hit by an Electric-type move.
11,Water Absorb,Restores HP if hit by a Water-type move.
12,Oblivious,Prevents it from becoming infatuated.
13,Cloud Nine,Eliminates the effects of weather.
14,Compound Eyes,The Pokémon's accuracy is boosted.
15,Insomnia,Prevents the Pokémon from falling asleep.
16,Color Change,Changes the Pokémon's type to the foe's move.
17,Immunity,Prevents the Pokémon from getting poisoned.
18,Flash Fire,It powers up Fire-type moves if it's hit by one.
19,Shield Dust,Blocks the added effects of attacks taken.
20,Own Tempo,Prevents the Pokémon from becoming confused.
21,Suction Cups,Negates all moves that force switching out.
22,Intimidate,Lowers the foe's Attack stat.
23,Shadow Tag,Prevents the foe from escaping.
24,Rough Skin,Inflicts damage to the attacker on contact.
25,Wonder Guard,Only supereffective moves will hit.
26,Levitate,Gives immunity to Ground type moves.
27,Effect Spore,Contact may poison or cause paralysis or sleep.
28,Synchronize,Passes a burn, poison, or paralysis to the foe.
29,Clear Body,Prevents other Pokémon from lowering its stats.
30,Natural Cure,All status problems heal when it switches out.
31,Lightning Rod,Draws in all Electric-type moves to up Sp. Attack.
32,Serene Grace,Boosts the likelihood of added effects appearing.
33,Swift Swim,Boosts the Pokémon's Speed in rain.
34,Chlorophyll,Boosts the Pokémon's Speed in sunshine.
35,Illuminate,Raises the likelihood of meeting wild Pokémon.
36,Trace,The Pokémon copies a foe's Ability.
37,Huge Power,Raises the Pokémon's Attack stat.
38,Poison Point,Contact with the Pokémon may poison the attacker.
39,Inner Focus,The Pokémon is protected from flinching.
40,Magma Armor,Prevents the Pokémon from becoming frozen.
41,Water Veil,Prevents the Pokémon from getting a burn.
42,Magnet Pull,Prevents Steel-type Pokémon from escaping.
43,Soundproof,Gives immunity to 
44,Rain Dish,The Pokémon gradually regains HP in rain.
45,Sand Stream,The Pokémon summons a sandstorm in battle.
46,Pressure,The Pokémon raises the foe's PP usage.
47,Thick Fat,Ups resistance to Fire- and Ice-type moves.
48,Early Bird,The Pokémon awakens quickly from sleep.
49,Flame Body,Contact with the Pokémon may burn the attacker.
50,Run Away,Enables a sure getaway from wild Pokémon.
51,Keen Eye,Prevents other Pokémon from lowering accuracy.
52,Hyper Cutter,Prevents other Pokémon from lowering Attack stat.
53,Pickup,The Pokémon may pick up items.
54,Truant,Pokémon can't attack on consecutive turns.
55,Hustle,Boosts the Attack stat, but lowers accuracy.
56,Cute Charm,Contact with the Pokémon may cause infatuation.
57,Plus,Ups Sp. Atk if another Pokémon has Plus or Minus.
58,Minus,Ups Sp. Atk if another Pokémon has Plus or Minus.
59,Forecast,Castform transforms with the weather.
60,Sticky Hold,Protects the Pokémon from item theft.
61,Shed Skin,The Pokémon may heal its own status problems.
62,Guts,Boosts Attack if there is a status problem.
63,Marvel Scale,Ups Defense if there is a status problem.
64,Liquid Ooze,Damages attackers using any draining move.
65,Overgrow,Powers up Grass-type moves in a pinch.
66,Blaze,Powers up Fire-type moves in a pinch.
67,Torrent,Powers up Water-type moves in a pinch.
68,Swarm,Powers up Bug-type moves in a pinch.
69,Rock Head,Protects the Pokémon from recoil damage.
70,Drought,Turns the sunlight harsh when the Pokémon enters a battle.
71,Arena Trap,Prevents the foe from fleeing.
72,Vital Spirit,Prevents the Pokémon from falling asleep.
73,White Smoke,Prevents other Pokémon from lowering its stats.
74,Pure Power,Raises the Pokémon's Attack stat.
75,Shell Armor,The Pokémon is protected against critical hits.
76,Air Lock,Eliminates the effects of weather.
77,Tangled Feet,Raises evasion if the Pokémon is confused.
78,Motor Drive,Raises Speed if hit by an Electric-type move.
79,Rivalry,Deals more damage to a Pokémon of same gender.
80,Steadfast,Raises Speed each time the Pokémon flinches.
81,Snow Cloak,Raises evasion in a hailstorm.
82,Gluttony,Encourages the early use of a held Berry.
83,Anger Point,Maxes Attack after taking a critical hit.
84,Unburden,Raises Speed if a held item is used.
85,Heatproof,Weakens the power of Fire-type moves.
86,Simple,Doubles all stat changes.
87,Dry Skin,Reduces HP if it is hot. Water restores HP.
88,Download,Adjusts power according to a foe's defenses.
89,Iron Fist,Boosts the power of punching moves.
90,Poison Heal,Restores HP if the Pokémon is poisoned.
91,Adaptability,Powers up moves of the same type.
92,Skill Link,Increases the frequency of multi-strike moves.
93,Hydration,Heals status problems if it is raining.
94,Solar Power,In sunshine, Sp. Atk is boosted but HP decreases.
95,Quick Feet,Boosts Speed if there is a status problem.
96,Normalize,All the Pokémon's moves become the Normal type.
97,Sniper,Powers up moves if they become critical hits.
98,Magic Guard,The Pokémon only takes damage from attacks.
99,No Guard,Ensures attacks by or against the Pokémon land.
100,Stall,The Pokémon moves after all other Pokémon do.
101,Technician,Powers up the Pokémon's weaker moves.
102,Leaf Guard,Prevents problems with status in sunny weather.
103,Klutz,The Pokémon can't use any held items.
104,Mold Breaker,Moves can be used regardless of Abilities.
105,Super Luck,Heightens the critical-hit ratios of moves.
106,Aftermath,Damages the attacker landing the finishing hit.
107,Anticipation,Senses a foe's dangerous moves.
108,Forewarn,Determines what moves a foe has.
109,Unaware,Ignores any stat changes in the Pokémon.
110,Tinted Lens,Powers up “not very effective” moves.
111,Filter,Reduces damage from supereffective attacks.
112,Slow Start,Temporarily halves Attack and Speed.
113,Scrappy,Enables moves to hit Ghost-type Pokémon.
114,Storm Drain,Draws in all Water-type moves to up Sp. Attack.
115,Ice Body,The Pokémon gradually regains HP in a hailstorm.
116,Solid Rock,Reduces damage from supereffective attacks.
117,Snow Warning,The Pokémon summons a hailstorm in battle.
118,Honey Gather,The Pokémon may gather Honey from somewhere.
119,Frisk,The Pokémon can check a foe's held item.
120,Reckless,Powers up moves that have recoil damage.
121,Multitype,Changes type to match the held Plate.
122,Flower Gift,Powers up party Pokémon when it is sunny.
123,Bad Dreams,Reduces a sleeping foe's HP.
124,Pickpocket,Steals an item when hit by another Pokémon.
125,Sheer Force,Removes added effects to increase move damage.
126,Contrary,Makes stat changes have an opposite effect.
127,Unnerve,Makes the foe nervous and unable to eat Berries.
128,Defiant,When its stats are lowered its Attack increases.
129,Defeatist,Lowers stats when HP drops below half.
130,Cursed Body,May disable a move used on the Pokémon.
131,Healer,May heal an ally's status conditions.
132,Friend Guard,Reduces damage done to allies.
133,Weak Armor,Physical attacks lower Defense and raise Speed.
134,Heavy Metal,Doubles the Pokémon's weight.
135,Light Metal,Halves the Pokémon's weight.
136,Multiscale,Reduces damage when HP is full.
137,Toxic Boost,Powers up physical attacks when poisoned.
138,Flare Boost,Powers up special attacks when burned.
139,Harvest,May create another Berry after one is used.
140,Telepathy,Anticipates an ally's attack and dodges it.
141,Moody,Raises one stat and lowers another.
142,Overcoat,Protects the Pokémon from damage from weather.
143,Poison Touch,May poison targets when a Pokémon makes contact.
144,Regenerator,Restores a little HP when withdrawn from battle.
145,Big Pecks,Protects the Pokémon from Defense-lowering attacks.
146,Sand Rush,Boosts the Pokémon's Speed in a sandstorm.
147,Wonder Skin,Makes status-changing moves more likely to miss.
148,Analytic,Boosts move power when the Pokémon moves last.
149,Illusion,Comes out disguised as the Pokémon in back.
150,Imposter,It transforms itself into the Pokémon it is facing.
151,Infiltrator,Passes through the foe's barrier and strikes.
152,Mummy,Contact with this Pokémon spreads this Ability.
153,Moxie,Boosts Attack after knocking out any Pokémon.
154,Justified,Raises Attack when hit by a Dark-type move.
155,Rattled,Bug, Ghost or Dark type moves scare it and boost its Speed.
156,Magic Bounce,Reflects status- changing moves.
157,Sap Sipper,Boosts Attack when hit by a Grass-type move.
158,Prankster,Gives priority to a status move.
159,Sand Force,Boosts certain moves' power in a sandstorm.
160,Iron Barbs,Inflicts damage to the Pokémon on contact.
161,Zen Mode,Changes form when HP drops below half.
162,Victory Star,Boosts the accuracy of its allies and itself.
163,Turboblaze,Moves can be used regardless of Abilities.
164,Teravolt,Moves can be used regardless of Abilities.
165,Aroma Veil,Protects allies from attacks that limit their move choices.
166,Flower Veil,Prevents lowering of ally Grass-type Pokémon's stats.
167,Cheek Pouch,Restores additional HP when a Berry is consumed.
168,Protean,Changes the Pokémon's type to its last used move.
169,Fur Coat,Reduces damage from physical moves.
170,Magician,The Pokémon steals the held item of a Pokémon it hits with a move.
171,Bulletproof,Protects the Pokémon from ball and bomb moves.
172,Competitive,Raises Special Attack when the Pokémon's stats are lowered.
173,Strong Jaw,Boosts the power of biting moves.
174,Refrigerate,Turns Normal-type moves into Ice-type moves.
175,Sweet Veil,Prevents the Pokémon and allies from falling asleep.
176,Stance Change,Changes form depending on moves used.
177,Gale Wings,Gives priority to Flying-type moves.
178,Mega Launcher,Boosts the power of aura and pulse moves.
179,Grass Pelt,Boosts the Defense stat in Grassy Terrain.
180,Symbiosis,The Pokémon can pass an item to an ally.
181,Tough Claws,Boosts the power of contact moves.
182,Pixilate,Turns Normal-type moves into Fairy-type moves.
183,Gooey,Contact with the Pokémon lowers the attacker's Speed stat.
184,Aerilate,Turns Normal-type moves into Flying-type moves.
185,Parental Bond,Allows the Pokémon to attack twice.
186,Dark Aura,Raises power of Dark type moves for all Pokémon in battle.
187,Fairy Aura,Raises power of Fairy type moves for all Pokémon in battle.
188,Aura Break,The effects of “Aura” Abilities are reversed.
189,Primordial Sea,Makes it rain heavily when the ability activates.
190,Desolate Land,Turns the sunlight extremely harsh when the ability activates.
191,Delta Stream,Creates strong winds when the ability activates.
192,Stamina,Raises Defense when attacked.
193,Wimp Out,Switches out when HP drops below half.
194,Emergency Exit,The Pokémon, sensing danger, switches out when its HP becomes half or less.
195,Water Compaction,Sharply raises Defense when hit by a Water-type move.
196,Merciless,The Pokémon’s attacks become critical hits if the target is poisoned.
197,Shields Down,Changes stats when HP drops below half.
198,Stakeout,Deals double damage to Pokémon switching in.
199,Water Bubble,Lowers the power of Fire-type moves and prevents burns.
200,Steelworker,Powers up Steel-type moves.
201,Berserk,Raises Special Attack when HP drops below half.
202,Slush Rush,Boosts the Pokémon’s Speed stat in a hailstorm.
203,Long Reach,The Pokémon uses its moves without making contact with the target.
204,Liquid Voice,All sound-based moves become Water-type moves.
205,Triage,Gives priority to restorative moves.
206,Galvanize,Normal-type moves become Electric-type moves and their power boosted.
207,Surge Surfer,Doubles Speed during Electric Terrain. 
208,Schooling,Changes Wishiwashi to School form.
209,Disguise,Avoids damage for one turn.
210,Battle Bond,Transform into Ash-Greninja after causing opponent to faint.
211,Power Construct,Changes form when HP drops below half.
212,Corrosion,The Pokémon can poison Steel and Poison types.
213,Comatose,Prevents all status conditions except Sleep.
214,Queenly Majesty,Prevents use of priority moves.
215,Innards Out,Deals damage upon fainting.
216,Dancer,Copies the foe's Dance moves.
217,Battery,Raises power of teammates' Special moves.
218,Fluffy,Reduces damage from contact moves, but doubles damage from Fire-type moves.
219,Dazzling,Protects the Pokémon from high-priority moves.
220,Soul-Heart,Raises Special Attack when an ally faints.
221,Tangling Hair,Contact with the Pokémon lowers the attacker’s Speed stat.
222,Receiver,Inherits an ally's ability when it faints.
223,Power of Alchemy,The Pokémon copies the Ability of a defeated ally.
224,Beast Boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.
225,RKS System,Changes type depending on held item.
226,Electric Surge,The Pokémon creates an Electric Terrain when it enters a battle.
227,Psychic Surge,The Pokémon creates a Psychic Terrain when it enters a battle.
228,Misty Surge,The Pokémon creates a Misty Terrain when it enters a battle.
229,Grassy Surge,The Pokémon creates a Grassy Terrain when it enters a battle.
230,Full Metal Body,Prevents other Pokémon from lowering its stats.
231,Shadow Shield,Reduces damage when HP is full.
232,Prism Armor,Reduces the power of supereffective attacks taken.
